_num,_widgetName,_source,_resultNumber,_pageUrl,player_link,player_link/_source,player_link/_title,player_link/_text,player,span_number,span,mat_number,inns_number,no_number,runs_number,hs_number,ave_number,col_100_number,col_50_number,col_01_number
1,CricInfo_StatsGuru,CricInfo_StatsGuru,1,http://stats.espncricinfo.com/ci/engine/stats/index.html?class=1;template=results;type=batting,http://stats.espncricinfo.com/ci/content/player/35320.html,/ci/content/player/35320.html,,SR Tendulkar,SR Tendulkar (India),1989; 2013,1989-2013,200,329,33,15921,248,53.78,51,68,14
2,CricInfo_StatsGuru,CricInfo_StatsGuru,2,http://stats.espncricinfo.com/ci/engine/stats/index.html?class=1;template=results;type=batting,http://stats.espncricinfo.com/ci/content/player/7133.html,/ci/content/player/7133.html,,RT Ponting,RT Ponting (Aus),1995; 2012,1995-2012,168,287,29,13378,257,51.85,41,62,17
3,CricInfo_StatsGuru,CricInfo_StatsGuru,3,http://stats.espncricinfo.com/ci/engine/stats/index.html?class=1;template=results;type=batting,http://stats.espncricinfo.com/ci/content/player/45789.html,/ci/content/player/45789.html,,JH Kallis,JH Kallis (ICC/SA),1995; 2013,1995-2013,166,280,40,13289,224,55.37,45,58,16
4,CricInfo_StatsGuru,CricInfo_StatsGuru,4,http://stats.espncricinfo.com/ci/engine/stats/index.html?class=1;template=results;type=batting,http://stats.espncricinfo.com/ci/content/player/28114.html,/ci/content/player/28114.html,,R Dravid,R Dravid (ICC/India),1996; 2012,1996-2012,164,286,32,13288,270,52.31,36,63,8
5,CricInfo_StatsGuru,CricInfo_StatsGuru,5,http://stats.espncricinfo.com/ci/engine/stats/index.html?class=1;template=results;type=batting,http://stats.espncricinfo.com/ci/content/player/52337.html,/ci/content/player/52337.html,,BC Lara,BC Lara (ICC/WI),1990; 2006,1990-2006,131,232,6,11953,400,52.88,34,48,17
6,CricInfo_StatsGuru,CricInfo_StatsGuru,6,http://stats.espncricinfo.com/ci/engine/stats/index.html?class=1;template=results;type=batting,http://stats.espncricinfo.com/ci/content/player/49289.html,/ci/content/player/49289.html,,DPMD Jayawardene,DPMD Jayawardene (SL),1997; 2014,1997-2014,143,240,15,11319,374,50.3,33,46,14
7,CricInfo_StatsGuru,CricInfo_StatsGuru,7,http://stats.espncricinfo.com/ci/engine/stats/index.html?class=1;template=results;type=batting,http://stats.espncricinfo.com/ci/content/player/51469.html,/ci/content/player/51469.html,,S Chanderpaul,S Chanderpaul (WI),1994; 2013,1994-2013,153,261,45,11219,203,51.93,29,62,14
8,CricInfo_StatsGuru,CricInfo_StatsGuru,8,http://stats.espncricinfo.com/ci/engine/stats/index.html?class=1;template=results;type=batting,http://stats.espncricinfo.com/ci/content/player/4174.html,/ci/content/player/4174.html,,AR Border,AR Border (Aus),1978; 1994,1978-1994,156,265,44,11174,205,50.56,27,63,11
9,CricInfo_StatsGuru,CricInfo_StatsGuru,9,http://stats.espncricinfo.com/ci/engine/stats/index.html?class=1;template=results;type=batting,http://stats.espncricinfo.com/ci/content/player/50710.html,/ci/content/player/50710.html,,KC Sangakkara,KC Sangakkara (SL),2000; 2014,2000-2014,122,209,17,11151,319,58.07,35,45,9
10,CricInfo_StatsGuru,CricInfo_StatsGuru,10,http://stats.espncricinfo.com/ci/engine/stats/index.html?class=1;template=results;type=batting,http://stats.espncricinfo.com/ci/content/player/8192.html,/ci/content/player/8192.html,,SR Waugh,SR Waugh (Aus),1985; 2004,1985-2004,168,260,46,10927,200,51.06,32,50,22
11,CricInfo_StatsGuru,CricInfo_StatsGuru,11,http://stats.espncricinfo.com/ci/engine/stats/index.html?class=1;template=results;type=batting,http://stats.espncricinfo.com/ci/content/player/28794.html,/ci/content/player/28794.html,,SM Gavaskar,SM Gavaskar (India),1971; 1987,1971-1987,125,214,16,10122,236,51.12,34,45,12
12,CricInfo_StatsGuru,CricInfo_StatsGuru,12,http://stats.espncricinfo.com/ci/engine/stats/index.html?class=1;template=results;type=batting,http://stats.espncricinfo.com/ci/content/player/47270.html,/ci/content/player/47270.html,,GC Smith,GC Smith (ICC/SA),2002; 2014,2002-2014,117,205,13,9265,277,48.25,27,38,11
13,CricInfo_StatsGuru,CricInfo_StatsGuru,13,http://stats.espncricinfo.com/ci/engine/stats/index.html?class=1;template=results;type=batting,http://stats.espncricinfo.com/ci/content/player/13399.html,/ci/content/player/13399.html,,GA Gooch,GA Gooch (Eng),1975; 1995,1975-1995,118,215,6,8900,333,42.58,20,46,13
14,CricInfo_StatsGuru,CricInfo_StatsGuru,14,http://stats.espncricinfo.com/ci/engine/stats/index.html?class=1;template=results;type=batting,http://stats.espncricinfo.com/ci/content/player/40879.html,/ci/content/player/40879.html,,Javed Miandad,Javed Miandad (Pak),1976; 1993,1976-1993,124,189,21,8832,280,52.57,23,43,6
15,CricInfo_StatsGuru,CricInfo_StatsGuru,15,http://stats.espncricinfo.com/ci/engine/stats/index.html?class=1;template=results;type=batting,http://stats.espncricinfo.com/ci/content/player/40570.html,/ci/content/player/40570.html,,Inzamam-ul-Haq,Inzamam-ul-Haq (ICC/Pak),1992; 2007,1992-2007,120,200,22,8830,329,49.6,25,46,15
16,CricInfo_StatsGuru,CricInfo_StatsGuru,16,http://stats.espncricinfo.com/ci/engine/stats/index.html?class=1;template=results;type=batting,http://stats.espncricinfo.com/ci/content/player/30750.html,/ci/content/player/30750.html,,VVS Laxman,VVS Laxman (India),1996; 2012,1996-2012,134,225,34,8781,281,45.97,17,56,14
17,CricInfo_StatsGuru,CricInfo_StatsGuru,17,http://stats.espncricinfo.com/ci/engine/stats/index.html?class=1;template=results;type=batting,http://stats.espncricinfo.com/ci/content/player/5616.html,/ci/content/player/5616.html,,ML Hayden,ML Hayden (Aus),1994; 2009,1994-2009,103,184,14,8625,380,50.73,30,29,14
18,CricInfo_StatsGuru,CricInfo_StatsGuru,18,http://stats.espncricinfo.com/ci/engine/stats/index.html?class=1;template=results;type=batting,http://stats.espncricinfo.com/ci/content/player/35263.html,/ci/content/player/35263.html,,V Sehwag,V Sehwag (ICC/India),2001; 2013,2001-2013,104,180,6,8586,319,49.34,23,32,16
19,CricInfo_StatsGuru,CricInfo_StatsGuru,19,http://stats.espncricinfo.com/ci/engine/stats/index.html?class=1;template=results;type=batting,http://stats.espncricinfo.com/ci/content/player/52812.html,/ci/content/player/52812.html,,IVA Richards,IVA Richards (WI),1974; 1991,1974-1991,121,182,12,8540,291,50.23,24,45,10
20,CricInfo_StatsGuru,CricInfo_StatsGuru,20,http://stats.espncricinfo.com/ci/engine/stats/index.html?class=1;template=results;type=batting,http://stats.espncricinfo.com/ci/content/player/20372.html,/ci/content/player/20372.html,,AJ Stewart,AJ Stewart (Eng),1990; 2003,1990-2003,133,235,21,8463,190,39.54,15,45,14
21,CricInfo_StatsGuru,CricInfo_StatsGuru,21,http://stats.espncricinfo.com/ci/engine/stats/index.html?class=1;template=results;type=batting,http://stats.espncricinfo.com/ci/content/player/4578.html,/ci/content/player/4578.html,,MJ Clarke,MJ Clarke (Aus),2004; 2014,2004-2014,105,180,20,8240,329,51.5,27,27,9
22,CricInfo_StatsGuru,CricInfo_StatsGuru,22,http://stats.espncricinfo.com/ci/engine/stats/index.html?class=1;template=results;type=batting,http://stats.espncricinfo.com/ci/content/player/13418.html,/ci/content/player/13418.html,,DI Gower,DI Gower (Eng),1978; 1992,1978-1992,117,204,18,8231,215,44.25,18,39,7
23,CricInfo_StatsGuru,CricInfo_StatsGuru,23,http://stats.espncricinfo.com/ci/engine/stats/index.html?class=1;template=results;type=batting,http://stats.espncricinfo.com/ci/content/player/19296.html,/ci/content/player/19296.html,,KP Pietersen,KP Pietersen (Eng),2005; 2014,2005-2014,104,181,8,8181,227,47.28,23,35,10
24,CricInfo_StatsGuru,CricInfo_StatsGuru,24,http://stats.espncricinfo.com/ci/engine/stats/index.html?class=1;template=results;type=batting,http://stats.espncricinfo.com/ci/content/player/9187.html,/ci/content/player/9187.html,,G Boycott,G Boycott (Eng),1964; 1982,1964-1982,108,193,23,8114,246,47.72,22,42,10
