player,mat_number,inns_number,no_number,runs_number,hs_number,ave_number,bf_number,sr_number,col_100_number,col_50_number,col_01_number,col_4s_number,col_6s_number
DS Smith (WI),6,6,0,203,61,33.83,161,126.08,0,2,0,22,5
JM Kemp (SA),8,7,3,203,89,50.75,160,126.87,0,1,0,17,10
JF Mooney (Ire),23,20,8,204,31,17,196,104.08,0,0,0,22,0
DL Vettori (NZ),33,21,6,205,38,13.66,187,109.62,0,0,2,14,2
CA Ingram (SA),9,9,1,210,78,26.25,162,129.62,0,1,1,23,7
Asghar Stanikzai (Afg),13,11,0,210,49,19.09,243,86.41,0,0,0,10,9
RG Aga (Kenya),20,18,2,213,52,13.31,196,108.67,0,1,0,15,5
RN ten Doeschate (Neth),9,9,4,214,56,42.8,166,128.91,0,1,0,11,7
DO Obuya (Kenya),10,10,2,216,65,27,228,94.73,0,2,1,22,4
AR Cusack (Ire),30,18,4,216,65,15.42,172,125.58,0,1,0,16,5
TT Bresnan (Eng),34,22,9,216,47,16.61,170,127.05,0,0,3,16,6
H Patel (Can),11,11,1,220,88,22,218,100.91,0,1,2,19,2
SE Marsh (Aus),13,13,1,223,47,18.58,213,104.69,0,0,2,12,10
T Mishra (Kenya),15,15,0,227,38,15.13,263,86.31,0,0,2,15,4
AM Rahane (India),10,10,0,228,61,22.8,196,116.32,0,1,1,21,5
Aftab Ahmed (Ban),11,11,1,228,62,22.8,178,128.08,0,1,0,26,6
V Sibanda (Zim),16,16,1,230,32,15.33,246,93.49,0,0,3,26,4
ADS Fletcher (WI),19,19,2,231,53,13.58,243,95.06,0,1,5,18,7
ES Szwarczynski (Neth),14,12,1,233,45,21.18,243,95.88,0,0,0,22,2
YK Pathan (India),22,18,5,236,37,18.15,161,146.58,0,0,3,11,17
RE Levi (SA),13,13,2,236,117,21.45,167,141.31,1,1,3,20,15
HDRL Thirimanne (SL),21,15,2,237,44,18.23,209,113.39,0,0,0,22,4
Rizwan Cheema (Can),16,16,1,238,68,15.86,219,108.67,0,1,3,23,15
J Mubarak (SL),16,15,4,238,46,21.63,188,126.59,0,0,2,21,8
DT Johnston (Ire),30,19,7,249,62,20.75,184,135.32,0,1,1,13,11
T Taibu (Zim),17,15,6,259,45,28.77,257,100.77,0,0,2,19,2
Mashrafe Mortaza (Ban),28,21,7,262,36,18.71,191,137.17,0,0,1,19,15
LD Chandimal (SL),26,20,0,266,56,13.3,284,93.66,0,1,0,23,3
Mohammad Nabi (Afg),25,23,2,268,46,12.76,215,124.65,0,0,3,20,12
MV Boucher (SA),25,21,6,268,36,17.86,275,97.45,0,0,0,22,2
Noor Ali Zadran (Afg),10,10,1,269,50,29.88,282,95.39,0,2,1,21,2
NL McCullum (NZ),55,33,11,270,36,12.27,264,102.27,0,0,3,17,7
AC Gilchrist (Aus),13,13,1,272,48,22.66,192,141.66,0,0,0,27,13
MW Machan (Scot),6,6,2,276,67,69,210,131.42,0,3,0,29,4
A Bagai (Can),9,9,2,284,67,40.57,249,114.05,0,2,0,27,0
Nawroz Mangal (Afg),24,24,2,288,36,13.09,277,103.97,0,0,3,23,11
Anamul Haque (Ban),10,10,1,288,58,32,229,125.76,0,1,1,34,11
CS MacLeod (Scot),15,14,1,289,57,22.23,271,106.64,0,3,2,22,7
AN Kervezee (Neth),10,10,1,289,58,32.11,262,110.3,0,2,0,19,6
Samiullah Shenwari (Afg),25,23,5,295,61,16.38,245,120.4,0,1,0,18,11
Karim Sadiq (Afg),23,23,0,295,42,12.82,288,102.43,0,0,2,36,5
CK Kapugedera (SL),21,18,3,295,47,19.66,256,115.23,0,0,0,25,11
RR Sarwan (WI),18,16,3,298,59,22.92,286,104.19,0,2,1,19,6
GJ Maxwell (Aus),21,17,2,303,74,20.2,183,165.57,0,1,0,24,21
ML Hayden (Aus),9,9,3,308,73,51.33,214,143.92,0,4,0,37,13
LE Bosman (SA),14,14,1,323,94,24.84,219,147.48,0,3,2,27,20
AA Obanda (Kenya),24,22,2,325,79,16.25,299,108.69,0,1,3,43,6
RJ Nicol (NZ),21,19,0,327,58,17.21,296,110.47,0,2,2,33,11
A Symonds (Aus),14,11,4,337,85,48.14,199,169.34,0,2,2,33,10
D Ramdin (WI),46,29,8,339,55,16.14,278,121.94,0,1,2,36,6
PW Borren (Neth),27,24,3,340,49,16.19,307,110.74,0,0,1,31,10
S Chanderpaul (WI),22,22,5,343,41,20.17,347,98.84,0,0,0,34,5
SO Tikolo (Kenya),15,15,3,345,56,28.75,281,122.77,0,2,3,46,6
RR Patel (Kenya),22,19,2,345,52,20.29,298,115.77,0,1,1,16,20
OA Shah (Eng),17,15,1,347,55,24.78,284,122.18,0,1,0,26,13
Nasir Hossain (Ban),23,19,4,347,50,23.13,298,116.44,0,2,1,29,6
KS Williamson (NZ),17,15,3,352,51,29.33,291,120.96,0,1,0,39,5
W Barresi (Neth),19,19,4,360,75,24,304,118.42,0,2,3,29,9
NJ O'Brien (Ire),21,20,1,362,50,19.05,367,98.63,0,1,0,34,6
Nasir Jamshed (Pak),18,18,1,363,56,21.35,320,113.43,0,2,1,34,12
Q de Kock (SA),17,17,4,363,48,27.92,315,115.23,0,0,1,44,9
SJ Myburgh (Neth),16,16,0,377,63,23.56,294,128.23,0,3,4,43,17
Mahmudullah (Ban),33,30,4,381,64,14.65,371,102.69,0,1,2,24,15
TLW Cooper (Neth),15,15,3,389,72,32.41,286,136.01,0,2,1,36,16
CJ Chibhabha (Zim),17,17,0,391,65,23,354,110.45,0,3,0,44,10
Abdul Razzaq (Pak),32,29,10,393,46,20.68,337,116.61,0,0,2,21,21
V Sehwag (India),19,18,0,394,68,21.88,271,145.38,0,2,1,43,16
RD Berrington (Scot),21,19,1,396,100,22,338,117.15,1,0,5,45,8
KJ O'Brien (Ire),37,33,7,399,42,15.34,340,117.35,0,0,6,31,16
HH Gibbs (SA),23,23,1,400,90,18.18,318,125.78,0,3,4,45,12
RT Ponting (Aus),17,16,2,401,98,28.64,302,132.78,0,2,2,41,11
BJ Haddin (Aus),33,29,6,402,47,17.47,351,114.52,0,0,2,30,13
EC Joyce (Eng/Ire),18,15,3,405,78,33.75,431,93.96,0,1,0,30,5
DA Miller (SA),26,22,6,415,36,25.93,319,130.09,0,0,0,29,14
NLTC Perera (SL),37,30,17,417,35,32.07,279,149.46,0,0,3,29,21
J Charles (WI),21,20,0,429,84,21.45,378,113.49,0,2,2,59,9
Younis Khan (Pak),25,23,3,442,51,22.1,364,121.42,0,2,2,31,12
KJ Coetzer (Scot),20,20,1,442,62,23.26,437,101.14,0,1,0,35,16
MR Swart (Neth),18,17,1,446,89,27.87,370,120.54,0,3,1,37,13
Mohammad Ashraful (Ban),23,23,0,450,65,19.56,356,126.4,0,2,2,48,11
JD Ryder (NZ),22,21,1,457,62,22.85,358,127.65,0,3,2,47,18
DJG Sammy (WI),52,40,13,463,42,17.14,311,148.87,0,0,2,37,24
JEC Franklin (NZ),38,31,8,463,60,20.13,391,118.41,0,2,2,28,23
E Chigumbura (Zim),27,26,5,464,53,22.09,296,156.75,0,1,2,38,25
GJ Bailey (Aus),28,25,7,470,63,26.11,334,140.71,0,2,1,37,20
JDP Oram (NZ),36,30,7,474,66,20.6,339,139.82,0,2,3,38,22
JC Buttler (Eng),35,29,7,480,67,21.81,360,133.33,0,2,2,37,19
MJ Clarke (Aus),34,28,5,488,67,21.21,473,103.17,0,1,2,29,10
Imran Nazir (Pak),25,24,1,500,72,21.73,370,135.13,0,3,2,59,22
Mushfiqur Rahim (Ban),37,32,6,503,50,19.34,429,117.24,0,1,1,37,16
CO Obuya (Kenya),26,24,6,507,75,28.16,463,109.5,0,3,3,37,10
GC Wilson (Ire),34,29,4,511,41,20.44,561,91.08,0,0,3,45,5
MDKJ Perera (SL),17,17,0,511,84,30.05,380,134.47,0,5,0,48,21
DR Smith (WI),27,27,0,523,72,19.37,416,125.72,0,3,1,52,31
C Kieswetter (Eng),25,25,1,526,63,21.91,470,111.91,0,3,2,47,23
MJ Lumb (Eng),27,27,1,552,63,21.23,413,133.65,0,3,1,64,21
F du Plessis (SA),20,20,4,553,85,34.56,439,125.96,0,5,0,51,16
KA Pollard (WI),37,32,7,569,63,22.76,380,149.73,0,2,1,44,33
JA Morkel (SA),49,38,11,572,43,21.18,402,142.28,0,0,1,29,39
SB Styris (NZ),31,29,2,578,66,21.4,483,119.66,0,1,0,40,25
PD Collingwood (Eng),35,33,2,583,79,18.8,459,127.01,0,3,3,37,24
PR Stirling (Ire),26,26,4,584,79,26.54,455,128.35,0,5,5,76,13
BRM Taylor (Zim),26,26,5,594,75,28.28,480,123.75,0,5,4,52,17
Salman Butt (Pak),24,23,2,595,74,28.33,551,107.98,0,3,1,66,10
HM Amla (SA),26,26,2,600,56,25,490,122.44,0,1,1,70,9
WTS Porterfield (Ire),37,36,4,627,56,19.59,549,114.2,0,1,4,77,13
ST Jayasuriya (SL),31,30,3,629,88,23.29,487,129.15,0,4,4,76,23
AJ Finch (Aus),18,18,2,660,156,41.25,421,156.76,1,5,0,70,30
AD Mathews (SL),53,39,13,661,58,25.42,554,119.31,0,2,0,44,17
RS Bopara (Eng),36,33,8,662,65,26.48,575,115.13,0,3,0,48,15
Mohammad Shahzad (Afg),25,25,1,663,77,27.62,543,122.09,0,5,1,72,16
JH Kallis (SA),25,23,4,666,73,35.05,558,119.35,0,5,0,56,20
Ahmed Shehzad (Pak),26,26,2,666,111,27.75,544,122.42,1,3,2,72,20
LMP Simmons (WI),30,30,3,675,77,25,600,112.5,0,4,4,64,22
Tamim Iqbal (Ban),35,35,2,691,88,20.93,652,105.98,0,3,3,84,7
MEK Hussey (Aus),38,30,11,721,60,37.94,529,136.29,0,4,1,58,25
RG Sharma (India),42,35,11,739,79,30.79,586,126.1,0,7,1,61,27
Shakib Al Hasan (Ban),35,35,2,752,84,22.78,587,128.1,0,4,4,78,20
